date,close
2015-09-01,76.6
2015-09-02,74.91
2015-09-03,75.43
2015-09-04,76.1
2015-09-07,73.99
2015-09-08,75
2015-09-09,74.88
2015-09-10,77.61
2015-09-11,80.59
2015-09-14,81.97
2015-09-15,79.99
2015-09-16,79.31
2015-09-17,81.88
2015-09-18,80
2015-09-21,80.89
2015-09-22,79.99
2015-09-23,79
2015-09-24,79.4
2015-09-25,80.48
2015-09-28,77.5
2015-09-29,79.5
2015-09-30,80
2015-10-01,79.15
2015-10-02,77.6
2015-10-05,78.79
2015-10-06,81.5
2015-10-07,83.68
2015-10-08,83.05
2015-10-09,85.4
2015-10-12,88.2
2015-10-13,86.95
2015-10-14,85.7
2015-10-15,83.54
2015-10-16,85.9
2015-10-19,86.3
2015-10-20,86.25
2015-10-21,85.99
2015-10-22,88.29
2015-10-23,92
2015-10-26,95.1
2015-10-27,92.05
2015-10-28,91.7
2015-10-29,91.31
2015-10-30,89.84
2015-11-02,91.99
2015-11-03,91.5
2015-11-05,91.3
2015-11-06,90.81
2015-11-09,90.19
2015-11-10,90.5
2015-11-11,91
2015-11-12,87.28
2015-11-13,87.24
2015-11-16,91
2015-11-17,94.4
2015-11-18,93.5
2015-11-19,93.09
2015-11-20,92.89
2015-11-23,94.01
2015-11-24,93.94
2015-11-25,94.05
2015-11-26,94.8
2015-11-27,97
2015-11-30,94.5
2015-12-01,96
2015-12-02,94.69
2015-12-03,94.02
2015-12-04,93.8
2015-12-07,93.59
2015-12-08,90.25
2015-12-09,88.3
2015-12-10,89.27
2015-12-11,90.7
2015-12-14,88.8
2015-12-15,94.9
2015-12-16,92.3
2015-12-17,94.21
2015-12-18,94.82
2015-12-21,96
2015-12-22,95.75
2015-12-23,96.5
2015-12-24,95.57
2015-12-25,94.72
2015-12-28,93.55
2015-12-29,93.62
2015-12-30,91.4
2016-01-04,91.85
2016-01-05,94.3
2016-01-06,94.44
2016-01-11,94.5
2016-01-12,93.75
2016-01-13,91.6
2016-01-14,91.65
2016-01-15,86.59
2016-01-18,90.15
2016-01-19,90.45
2016-01-20,90.21
2016-01-21,90
2016-01-22,90.28
2016-01-25,90
2016-01-26,90
2016-01-27,93.65
2016-01-28,92.7
2016-01-29,95.99
2016-02-01,96.5
2016-02-02,96.2
2016-02-03,99.6
2016-02-04,92.3
2016-02-05,93.03
2016-02-08,91.14
2016-02-09,91.09
2016-02-10,90.95
2016-02-11,89
2016-02-12,89.58
2016-02-15,90.4
2016-02-16,91
2016-02-17,91
2016-02-18,92.47
2016-02-19,89.95
2016-02-20,90.48
2016-02-22,92.09
2016-02-24,93.2
2016-02-25,95.09
2016-02-26,96.81
2016-02-29,99
2016-03-01,97.8
2016-03-02,97.6
2016-03-03,97.7
2016-03-04,99
2016-03-07,100.5
2016-03-09,99.9
2016-03-10,101.92
2016-03-11,101.4
2016-03-14,103.85
2016-03-15,103.7
2016-03-16,105.7
2016-03-17,105.78
2016-03-18,105.2
2016-03-21,104.25
2016-03-22,103.49
2016-03-23,104.49
2016-03-24,104.6
2016-03-25,104.88
2016-03-28,103.18
2016-03-29,100.91
2016-03-30,101.81
2016-03-31,105.05
2016-04-01,105.05
2016-04-04,103.52
2016-04-05,102.4
2016-04-06,102.67
2016-04-07,103
2016-04-08,104.2
2016-04-11,104.55
2016-04-12,104.9
2016-04-13,104.9
2016-04-14,103.47
2016-04-15,102.05
2016-04-18,104
2016-04-19,107.05
2016-04-20,108.84
2016-04-21,108.7
2016-04-22,109.95
2016-04-25,109.25
2016-04-26,103.99
2016-04-27,103.36
2016-04-28,104.71
2016-04-29,102.15
2016-05-04,105.15
2016-05-05,106.23
2016-05-06,103.93
2016-05-10,102.8
2016-05-11,106.04
2016-05-12,107
2016-05-13,104.32
2016-05-16,104.36
2016-05-17,103.71
2016-05-18,105.22
2016-05-19,105.2
2016-05-20,104
2016-05-23,104
2016-05-24,105.1
2016-05-25,106.17
2016-05-26,106.47
2016-05-27,106.94
2016-05-30,106.75
2016-05-31,109.4
2016-06-01,106.72
2016-06-02,108
2016-06-03,109.1
2016-06-06,111.2
2016-06-07,112.4
2016-06-08,111.65
2016-06-09,111
2016-06-10,110.81
2016-06-14,113.1
2016-06-15,115.74
2016-06-16,114.9
2016-06-17,113.09
2016-06-20,119
2016-06-21,117.06
2016-06-22,117.01
2016-06-23,117.05
2016-06-24,114.1
2016-06-27,112
2016-06-28,112.99
2016-06-29,113.75
2016-06-30,112.52
2016-07-01,112.44
2016-07-04,112.9
2016-07-05,110.78
2016-07-06,111
2016-07-07,113.06
