date,close
2014-10-14,56.08
2014-10-15,55.2
2014-10-16,53.81
2014-10-17,55.4
2014-10-20,55.28
2014-10-21,57.3
2014-10-22,56.78
2014-10-23,56.4
2014-10-24,56.5
2014-10-27,57.26
2014-10-28,57.9
2014-10-29,57.56
2014-10-30,56.65
2014-10-31,56.9
2014-11-03,56.18
2014-11-05,55.07
2014-11-06,54.3
2014-11-07,55.99
2014-11-10,57.16
2014-11-11,56.85
2014-11-12,55.71
2014-11-13,54.2
2014-11-14,53.35
2014-11-17,52.88
2014-11-18,54.25
2014-11-19,53.52
2014-11-20,53.97
2014-11-21,54.92
2014-11-24,54.21
2014-11-25,53.94
2014-11-26,53.58
2014-11-27,52.97
2014-11-28,52.25
2014-12-01,52.25
2014-12-02,51.73
2014-12-03,51.99
2014-12-04,51.3
2014-12-05,50.35
2014-12-08,48.45
2014-12-09,49.3
2014-12-10,50.5
2014-12-11,48.6
2014-12-12,46.76
2014-12-15,44.67
2014-12-16,40.39
2014-12-17,42.32
2014-12-18,44.57
2014-12-19,41.91
2014-12-22,41.55
2014-12-23,39
2014-12-24,38.54
2014-12-25,40.47
2014-12-26,39.53
2014-12-29,38.5
2014-12-30,37.7
2015-01-05,38.59
2015-01-06,39.5
2015-01-08,43.75
2015-01-09,42.9
2015-01-12,42.41
2015-01-13,40.82
2015-01-14,41.5
2015-01-15,41.7
2015-01-16,42.03
2015-01-19,42.09
2015-01-20,42.24
2015-01-21,43.29
2015-01-22,44.8
2015-01-23,45.94
2015-01-26,42.88
2015-01-27,43.8
2015-01-28,43.15
2015-01-29,43.39
2015-01-30,43.84
2015-02-02,42.7
2015-02-03,43.23
2015-02-04,42.51
2015-02-05,43.5
2015-02-06,44.7
2015-02-09,45.6
2015-02-10,45.28
2015-02-11,45.93
2015-02-12,48.68
2015-02-13,52.77
2015-02-16,52.7
2015-02-17,53
2015-02-18,55.5
2015-02-19,53.19
2015-02-20,54.09
2015-02-24,52.67
2015-02-25,52.36
2015-02-26,54.45
2015-02-27,53.7
2015-03-02,54.1
2015-03-03,54.15
2015-03-04,52.91
2015-03-05,53.5
2015-03-06,53.36
2015-03-10,50.77
2015-03-11,50.45
2015-03-12,49.95
2015-03-13,48.6
2015-03-16,46.91
2015-03-17,46.27
2015-03-18,47
2015-03-19,46.55
2015-03-20,47.51
2015-03-23,46.1
2015-03-24,45.71
2015-03-25,45.8
2015-03-26,44.65
2015-03-27,44.15
2015-03-30,46.03
2015-03-31,45.63
2015-04-01,47.3
2015-04-02,48.9
2015-04-03,48.86
2015-04-06,50.62
2015-04-07,51.35
2015-04-08,50.7
2015-04-09,51.8
2015-04-10,51.97
2015-04-13,53.5
2015-04-14,53.95
2015-04-15,54.41
2015-04-16,54.5
2015-04-17,50.11
2015-04-20,49.29
2015-04-21,50.69
2015-04-22,49.47
2015-04-23,50.44
2015-04-24,50.88
2015-04-27,51.22
2015-04-28,50.39
2015-04-29,49.71
2015-04-30,50
2015-05-05,52
2015-05-06,52.28
2015-05-07,50.72
2015-05-08,50.79
2015-05-12,49.43
2015-05-13,50
2015-05-14,50.3
2015-05-15,50.36
2015-05-18,50.45
2015-05-19,49.68
2015-05-20,48.95
2015-05-21,49.66
2015-05-22,49.3
2015-05-25,49.05
2015-05-26,48.97
2015-05-27,47.8
2015-05-28,47.54
2015-05-29,48.25
2015-06-01,48.03
2015-06-02,49.2
2015-06-03,48.11
2015-06-04,47.64
2015-06-05,47.85
2015-06-08,47.56
2015-06-09,47.31
2015-06-10,48.31
2015-06-11,48.2
2015-06-15,49.05
2015-06-16,50.85
2015-06-17,49.61
2015-06-18,49.84
2015-06-19,49.12
2015-06-22,49.14
2015-06-23,49.54
2015-06-24,50.04
2015-06-25,49.73
2015-06-26,49.42
2015-06-29,47.9
2015-06-30,48.32
2015-07-01,47.92
2015-07-02,47.95
2015-07-03,48.15
2015-07-06,46.55
2015-07-07,47.3
2015-07-08,46.67
2015-07-09,48.38
2015-07-10,49.15
2015-07-13,49.95
2015-07-14,50.66
2015-07-15,50.7
2015-07-16,50.7
2015-07-17,51.05
2015-07-20,50.7
2015-07-21,51.5
2015-07-22,51.65
2015-07-23,50.76
2015-07-24,49.26
2015-07-27,48.4
2015-07-28,48.9
2015-07-29,50.51
2015-07-30,50.9
2015-07-31,51.39
2015-08-03,50.83
2015-08-04,51.67
2015-08-05,52.76
2015-08-06,51.89
2015-08-07,53.07
2015-08-10,53.95
2015-08-11,52.9
2015-08-12,53.18
2015-08-13,53.43
2015-08-14,54.1
2015-08-17,53.34
2015-08-18,53.23
2015-08-19,51.66
2015-08-20,52.5
2015-08-21,50.75
2015-08-24,49.84
2015-08-25,51.36
2015-08-26,52.06
2015-08-27,53.53
2015-08-28,53.98
2015-08-31,54.34
2015-09-01,53.56
2015-09-02,54.32
2015-09-03,53.53
2015-09-04,53.31
2015-09-07,53.16
2015-09-08,53.38
2015-09-09,53.89
2015-09-10,53.7
2015-09-11,53.5
2015-09-14,54.58
2015-09-15,54.47
2015-09-16,56.17
2015-09-17,56.56
2015-09-18,56.37
2015-09-21,56.94
2015-09-22,56
2015-09-23,55.6
2015-09-24,55.18
2015-09-25,57.25
2015-09-28,57.44
2015-09-29,56.87
2015-09-30,58.05
2015-10-01,56.88
2015-10-02,57.25
2015-10-05,58.4
2015-10-06,58.95
2015-10-07,61.8
2015-10-08,64.24
2015-10-09,66
2015-10-12,65.75
2015-10-13,65.55
2015-10-14,65.75
2015-10-15,67.25
2015-10-16,67.99
2015-10-19,65.8
2015-10-20,65.23
2015-10-21,63.86
2015-10-22,64.19
2015-10-23,66.75
2015-10-26,67.26
2015-10-27,65.2
2015-10-28,67.05
2015-10-29,67.06
2015-10-30,68.49
2015-11-02,69.45
2015-11-03,69.95
2015-11-05,70.35
2015-11-06,68.5
2015-11-09,67.95
2015-11-10,68.06
2015-11-11,67.5
2015-11-12,68.3
2015-11-13,69.37
2015-11-16,71.3
2015-11-17,75
2015-11-18,76.1
2015-11-19,76.5
2015-11-20,77.24
2015-11-23,79.6
2015-11-24,76.35
2015-11-25,78.45
2015-11-26,77.89
2015-11-27,77.8
2015-11-30,76.2
2015-12-01,74.5
2015-12-02,74.5
2015-12-03,75
2015-12-04,72.81
2015-12-07,73.99
2015-12-08,71
2015-12-09,72.85
2015-12-10,72.61
2015-12-11,71.21
2015-12-14,69.1
2015-12-15,71.4
2015-12-16,72.5
2015-12-17,73.7
2015-12-18,68.24
2015-12-21,70.7
2015-12-22,72.45
2015-12-23,75.67
2015-12-24,75.88
2015-12-25,75.26
2015-12-28,75.25
2015-12-29,76.85
2015-12-30,76.5
2016-01-04,73.88
2016-01-05,74.23
2016-01-06,72.62
2016-01-11,69.11
2016-01-12,69.32
2016-01-13,70.6
2016-01-14,70.57
2016-01-15,66.8
2016-01-18,66.33
2016-01-19,66.1
2016-01-20,63.55
2016-01-21,65.39
2016-01-22,68.75
2016-01-25,66.75
2016-01-26,67.21
2016-01-27,68.8
2016-01-28,68.89
2016-01-29,68.5
2016-02-01,69.5
2016-02-02,67.96
2016-02-03,68.25
2016-02-04,70.79
2016-02-05,70.89
2016-02-08,69.06
2016-02-09,68.65
2016-02-10,70.11
2016-02-11,68.28
2016-02-12,69.3
2016-02-15,69.32
2016-02-16,69.62
2016-02-17,71.29
2016-02-18,73.25
2016-02-19,71.93
2016-02-20,72.63
2016-02-22,73.6
2016-02-24,72.34
2016-02-25,73.76
2016-02-26,75.21
2016-02-29,76.9
2016-03-01,77.31
2016-03-02,75.2
2016-03-03,75.8
2016-03-04,76.82
2016-03-07,77.82
2016-03-09,76.51
2016-03-10,75.56
2016-03-11,77.03
2016-03-14,76.8
2016-03-15,75.62
2016-03-16,77
2016-03-17,78.45
2016-03-18,79.7
2016-03-21,79.81
2016-03-22,80.03
2016-03-23,78.93
2016-03-24,78.75
2016-03-25,79.65
2016-03-28,78.65
2016-03-29,77.6
2016-03-30,79.09
2016-03-31,79.09
2016-04-01,77.29
2016-04-04,76.26
2016-04-05,75.13
2016-04-06,76.1
2016-04-07,76.8
2016-04-08,78.75
2016-04-11,81.85
2016-04-12,81.92
2016-04-13,82.45
2016-04-14,81.2
2016-04-15,80.84
2016-04-18,81.07
2016-04-19,82.8
2016-04-20,83.88
2016-04-21,82.95
2016-04-22,84.08
2016-04-25,82.85
2016-04-26,82.37
2016-04-27,83.09
2016-04-28,83.91
2016-04-29,84
2016-05-04,82.08
2016-05-05,82.5
2016-05-06,82.78
2016-05-10,82.25
2016-05-11,84
2016-05-12,83.08
2016-05-13,83.1
2016-05-16,83.72
2016-05-17,83.83
2016-05-18,84.05
